"employees","salaries_2017","adjustments","salaries_2018","raise"
"Employee 64",40341.3460799493,3885.55316370912,44226.8992436584,TRUE
"Employee 65",41014.8949781433,-725.958953844383,40288.9360242989,FALSE
"Employee 66",42816.495730076,-3857.41367819719,38959.0820518788,FALSE
"Employee 67",40838.6184112169,-1283.95304316655,39554.6653680503,FALSE
"Employee 68",46547.9194396175,-1059.92750031874,45487.9919392988,FALSE
"Employee 69",44313.5421373881,8546.64143756963,52860.1835749578,TRUE
"Employee 70",46785.319969058,-2962.54489338025,43822.7750756778,FALSE
"Employee 71",48384.9773555994,-3493.72746073641,44891.249894863,FALSE
"Employee 72",43475.207935553,3867.24822921678,47342.4561647698,TRUE
"Employee 73",47964.3709165975,6870.53140252829,54834.9023191258,TRUE
"Employee 74",46184.911862947,8463.02311052568,54647.9349734727,TRUE
"Employee 75",40517.9079994559,9029.00792658329,49546.9159260392,TRUE
"Employee 76",45283.1084933132,-2198.87774554081,43084.2307477724,FALSE
"Employee 77",42801.5714720823,566.434762440622,43368.0062345229,TRUE
"Employee 78",44475.3770763054,1832.68691180274,46308.0639881082,TRUE
"Employee 79",46561.0020468011,2694.14292997681,49255.144976778,TRUE
"Employee 80",46588.4824446402,1215.46387090348,47803.9463155437,TRUE
"Employee 81",42773.3920118771,-3465.81115853041,39307.5808533467,FALSE
"Employee 82",47452.170457691,-1635.54629078135,45816.6241669096,FALSE
"Employee 83",45103.8838666864,-248.484803596511,44855.3990630899,FALSE
"Employee 84",41346.8962628394,-3650.02184757032,37696.8744152691,FALSE
"Employee 85",45124.382879585,7774.76875577122,52899.1516353562,TRUE
"Employee 86",48697.6644932292,9219.0141568426,57916.6786500718,TRUE
"Employee 87",40521.2008487433,-825.542511884123,39695.6583368592,FALSE
"Employee 88",48393.8687853515,6822.82208115794,55216.6908665095,TRUE
"Employee 89",41244.0696684644,9647.57244917564,50891.64211764,TRUE
"Employee 90",43928.5893645138,4253.6722519435,48182.2616164573,TRUE
"Employee 91",43167.5864662975,-2006.47087884136,41161.1155874562,FALSE
"Employee 92",46928.3805834129,-767.913277959451,46160.4673054535,FALSE
"Employee 93",48927.4427248165,1498.02932050079,50425.4720453173,TRUE
"Employee 94",46289.8535421118,-2345.32084665261,43944.5326954592,FALSE
"Employee 95",40915.9989887848,4644.02133482508,45560.0203236099,TRUE
"Employee 96",44986.0752094537,-1708.48838519305,43277.5868242607,FALSE
"Employee 97",45544.1725580022,8016.4357565809,53560.6083145831,TRUE
"Employee 98",48887.196094729,2169.79201533832,51056.9881100673,TRUE
"Employee 99",44793.1416356005,2046.39534465969,46839.5369802602,TRUE
"Employee 100",44946.2441401556,1823.31083808094,46769.5549782366,TRUE
